idna_subject,checker_type,destination,source,tested_at
token.ad,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 04:22:25.594973
wwww.token.ad,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 04:25:36.531819
snapchat.adult,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 04:30:27.376672
www.snapchat.adult,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:06:41.473635
ads.7days.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:11:34.000383
acsa.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:14:48.142897
www.acsa.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:17:57.438004
admissions.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:23:20.029052
www.admissions.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:26:28.220486
agripal.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:29:37.022776
www.agripal.ae,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 05:32:45.751257
